Hour,ANG,BTSW,DRC,LES,MAL,MOZ,NAM,STAF,SWA,TAN,ZAM,ZIM
0,1056.634008,1196.260812,973.8204912,47.73086784,759.2623928,7319.43878,119.6502993,23518.132,47.91551336,667.4935676,6915.964984,4050.19732
1,1012.703833,1245.69308,933.3333364,45.74642917,727.695616,7187.411856,114.6757683,23065.395,45.92339795,639.7421333,7201.748672,4217.560856
2,999.2165278,1196.260812,920.9030962,45.13717299,718.0040824,7121.17936,113.1485033,22761.809,45.31178488,631.2219743,6915.964984,4050.19732
3,993.6290004,1225.920223,915.7534903,44.88477005,713.9890696,7090.295888,112.5157872,22942.729,45.05840552,627.6922388,7087.435488,4150.615612
4,1012.703833,1242.397646,933.3333364,45.74642917,727.695616,7083.970348,114.6757683,24093.265,45.92339795,639.7421333,7182.69672,4206.403456
5,1060.487524,1265.466021,977.3719882,47.90494102,762.0314024,7046.455308,120.0866607,26317.28,48.09025994,669.9278987,7316.062344,4284.506384
6,1215.591479,1374.217026,1120.319696,54.91138441,873.4839948,7139.631416,137.6502015,27410.908,55.12380756,767.9096891,7944.786568,4652.706216
7,1406.918577,1598.309948,1296.651564,63.55412007,1010.965345,7543.066384,159.3155505,29254.794,63.79997741,888.7742517,9240.33916,5411.420824
8,1487.457035,1558.764151,1370.877833,67.19224876,1068.837628,7678.354636,168.4355017,30934.634,67.45218009,939.6517573,9011.712304,5277.530056
9,1533.31385,1476.377038,1413.140628,69.26371869,1101.788825,7684.89942,173.6282,31672.818,69.53166344,968.6202826,8535.406152,4998.590832
10,1523.680061,1486.263466,1404.261885,68.82853572,1094.866301,7777.265348,172.5372965,31518.204,69.09479698,962.534455,8592.562744,5032.063448
11,1508.458685,1492.854461,1390.233482,68.14094713,1083.928722,7708.647308,170.8136702,31217.632,68.40454847,952.9188544,8630.667384,5054.378676
12,1504.605168,1492.854461,1386.681985,67.96687392,1081.159712,7645.610824,170.3773087,30754.257,68.22980187,950.4845231,8630.667384,5054.378676
13,1487.457035,1370.921508,1370.877833,67.19224876,1068.837628,7645.610824,168.4355017,30286.161,67.45218009,939.6517573,7925.734128,4641.548532
14,1443.33429,1324.784759,1330.213201,65.19911122,1037.132477,7703.285104,163.4391647,30246.901,65.45133215,911.7786733,7659.002872,4485.342684
15,1431.773742,1281.943443,1319.55871,64.67689163,1028.825448,7598.2019,162.1300804,30639.584,64.92709237,904.4756799,7411.323576,4340.294228
16,1426.186156,1324.784759,1314.40905,64.42448604,1024.810393,7518.202252,161.4973576,31455.462,64.67371035,900.9459072,7659.002872,4485.342684
17,1433.7005,1436.831199,1321.334458,64.76392823,1030.209953,7511.876712,162.3482611,33122.821,65.01446567,905.6928454,8306.779048,4864.699916
18,1525.606818,1538.991252,1406.037634,68.91557231,1096.250806,7953.19828,172.7554772,34773.633,69.18217027,963.7516205,8897.39888,5210.584668
19,1701.712511,1614.787371,1568.341072,76.87071806,1222.794556,8342.493452,192.6971965,34092.261,77.16809027,1075.000564,9335.600392,5467.208672
20,1623.293469,1558.764151,1496.068109,73.32832883,1166.445215,8339.516972,183.8172421,32151.777,73.61199742,1025.461929,9011.712304,5277.530056
21,1489.191105,1324.784759,1372.475996,67.27058115,1070.083674,8199.151304,168.631863,29586.033,67.5308155,940.7471986,7659.002872,4485.342684
22,1311.158684,1196.260812,1208.396837,59.22840015,942.1554408,7913.976056,148.4719663,26617.927,59.45752355,828.2811084,6915.964984,4050.19732
23,1158.174116,1229.215658,1067.40241,52.31769489,832.2257696,7510.56344,131.1484189,24706.592,52.52008443,731.6381703,7106.487444,4161.773012
