Hour,ANG,BTSW,DRC,LES,MAL,MOZ,NAM,STAF,SWA,TAN,ZAM,ZIM
0,1056.634008,2392.521624,973.8204912,47.73086784,1518.524786,14638.87756,119.6502993,23518.132,47.91551336,667.4935676,13831.92997,8100.39464
1,1012.703833,2491.38616,933.3333364,45.74642917,1455.391232,14374.82371,114.6757683,23065.395,45.92339795,639.7421333,14403.49734,8435.121712
2,999.2165278,2392.521624,920.9030962,45.13717299,1436.008165,14242.35872,113.1485033,22761.809,45.31178488,631.2219743,13831.92997,8100.39464
3,993.6290004,2451.840446,915.7534903,44.88477005,1427.978139,14180.59178,112.5157872,22942.729,45.05840552,627.6922388,14174.87098,8301.231224
4,1012.703833,2484.795292,933.3333364,45.74642917,1455.391232,14167.9407,114.6757683,24093.265,45.92339795,639.7421333,14365.39344,8412.806912
5,1060.487524,2530.932042,977.3719882,47.90494102,1524.062805,14092.91062,120.0866607,26317.28,48.09025994,669.9278987,14632.12469,8569.012768
6,1215.591479,2748.434052,1120.319696,54.91138441,1746.96799,14279.26283,137.6502015,27410.908,55.12380756,767.9096891,15889.57314,9305.412432
7,1406.918577,3196.619896,1296.651564,63.55412007,2021.93069,15086.13277,159.3155505,29254.794,63.79997741,888.7742517,18480.67832,10822.84165
8,1487.457035,3117.528302,1370.877833,67.19224876,2137.675256,15356.70927,168.4355017,30934.634,67.45218009,939.6517573,18023.42461,10555.06011
9,1533.31385,2952.754076,1413.140628,69.26371869,2203.57765,15369.79884,173.6282,31672.818,69.53166344,968.6202826,17070.8123,9997.181664
10,1523.680061,2972.526932,1404.261885,68.82853572,2189.732602,15554.5307,172.5372965,31518.204,69.09479698,962.534455,17185.12549,10064.1269
11,1508.458685,2985.708922,1390.233482,68.14094713,2167.857444,15417.29462,170.8136702,31217.632,68.40454847,952.9188544,17261.33477,10108.75735
12,1504.605168,2985.708922,1386.681985,67.96687392,2162.319424,15291.22165,170.3773087,30754.257,68.22980187,950.4845231,17261.33477,10108.75735
13,1487.457035,2741.843016,1370.877833,67.19224876,2137.675256,15291.22165,168.4355017,30286.161,67.45218009,939.6517573,15851.46826,9283.097064
14,1443.33429,2649.569518,1330.213201,65.19911122,2074.264954,15406.57021,163.4391647,30246.901,65.45133215,911.7786733,15318.00574,8970.685368
15,1431.773742,2563.886886,1319.55871,64.67689163,2057.650896,15196.4038,162.1300804,30639.584,64.92709237,904.4756799,14822.64715,8680.588456
16,1426.186156,2649.569518,1314.40905,64.42448604,2049.620786,15036.4045,161.4973576,31455.462,64.67371035,900.9459072,15318.00574,8970.685368
17,1433.7005,2873.662398,1321.334458,64.76392823,2060.419906,15023.75342,162.3482611,33122.821,65.01446567,905.6928454,16613.5581,9729.399832
18,1525.606818,3077.982504,1406.037634,68.91557231,2192.501612,15906.39656,172.7554772,34773.633,69.18217027,963.7516205,17794.79776,10421.16934
19,1701.712511,3229.574742,1568.341072,76.87071806,2445.589112,16684.9869,192.6971965,34092.261,77.16809027,1075.000564,18671.20078,10934.41734
20,1623.293469,3117.528302,1496.068109,73.32832883,2332.89043,16679.03394,183.8172421,32151.777,73.61199742,1025.461929,18023.42461,10555.06011
21,1489.191105,2649.569518,1372.475996,67.27058115,2140.167348,16398.30261,168.631863,29586.033,67.5308155,940.7471986,15318.00574,8970.685368
22,1311.158684,2392.521624,1208.396837,59.22840015,1884.310882,15827.95211,148.4719663,26617.927,59.45752355,828.2811084,13831.92997,8100.39464
23,1158.174116,2458.431316,1067.40241,52.31769489,1664.451539,15021.12688,131.1484189,24706.592,52.52008443,731.6381703,14212.97489,8323.546024
