Hour,ANG,BTSW,DRC,LES,MAL,MOZ,NAM,STAF,SWA,TAN,ZAM,ZIM
0,1056.634008,897.195609,973.8204912,47.73086784,569.4467946,5489.579085,119.6502993,23518.132,47.91551336,667.4935676,5186.973738,3037.64799
1,1012.703833,934.26981,933.3333364,45.74642917,545.771712,5390.558892,114.6757683,23065.395,45.92339795,639.7421333,5401.311504,3163.170642
2,999.2165278,897.195609,920.9030962,45.13717299,538.5030618,5340.88452,113.1485033,22761.809,45.31178488,631.2219743,5186.973738,3037.64799
3,993.6290004,919.4401674,915.7534903,44.88477005,535.4918022,5317.721916,112.5157872,22942.729,45.05840552,627.6922388,5315.576616,3112.961709
4,1012.703833,931.7982342,933.3333364,45.74642917,545.771712,5312.977761,114.6757683,24093.265,45.92339795,639.7421333,5387.02254,3154.802592
5,1060.487524,949.0995156,977.3719882,47.90494102,571.5235518,5284.841481,120.0866607,26317.28,48.09025994,669.9278987,5487.046758,3213.379788
6,1215.591479,1030.66277,1120.319696,54.91138441,655.1129961,5354.723562,137.6502015,27410.908,55.12380756,767.9096891,5958.589926,3489.529662
7,1406.918577,1198.732461,1296.651564,63.55412007,758.2240089,5657.299788,159.3155505,29254.794,63.79997741,888.7742517,6930.25437,4058.565618
8,1487.457035,1169.073113,1370.877833,67.19224876,801.6282213,5758.765977,168.4355017,30934.634,67.45218009,939.6517573,6758.784228,3958.147542
9,1533.31385,1107.282779,1413.140628,69.26371869,826.3416186,5763.674565,173.6282,31672.818,69.53166344,968.6202826,6401.554614,3748.943124
10,1523.680061,1114.6976,1404.261885,68.82853572,821.1497259,5832.949011,172.5372965,31518.204,69.09479698,962.534455,6444.422058,3774.047586
11,1508.458685,1119.640846,1390.233482,68.14094713,812.9465415,5781.485481,170.8136702,31217.632,68.40454847,952.9188544,6473.000538,3790.784007
12,1504.605168,1119.640846,1386.681985,67.96687392,810.869784,5734.208118,170.3773087,30754.257,68.22980187,950.4845231,6473.000538,3790.784007
13,1487.457035,1028.191131,1370.877833,67.19224876,801.6282213,5734.208118,168.4355017,30286.161,67.45218009,939.6517573,5944.300596,3481.161399
14,1443.33429,993.5885691,1330.213201,65.19911122,777.8493579,5777.463828,163.4391647,30246.901,65.45133215,911.7786733,5744.252154,3364.007013
15,1431.773742,961.4575824,1319.55871,64.67689163,771.6190863,5698.651425,162.1300804,30639.584,64.92709237,904.4756799,5558.492682,3255.220671
16,1426.186156,993.5885691,1314.40905,64.42448604,768.6077946,5638.651689,161.4973576,31455.462,64.67371035,900.9459072,5744.252154,3364.007013
17,1433.7005,1077.623399,1321.334458,64.76392823,772.6574649,5633.907534,162.3482611,33122.821,65.01446567,905.6928454,6230.084286,3648.524937
18,1525.606818,1154.243439,1406.037634,68.91557231,822.1881045,5964.89871,172.7554772,34773.633,69.18217027,963.7516205,6673.04916,3907.938501
19,1701.712511,1211.090528,1568.341072,76.87071806,917.0959167,6256.870089,192.6971965,34092.261,77.16809027,1075.000564,7001.700294,4100.406504
20,1623.293469,1169.073113,1496.068109,73.32832883,874.8339114,6254.637729,183.8172421,32151.777,73.61199742,1025.461929,6758.784228,3958.147542
21,1489.191105,993.5885691,1372.475996,67.27058115,802.5627552,6149.363478,168.631863,29586.033,67.5308155,940.7471986,5744.252154,3364.007013
22,1311.158684,897.195609,1208.396837,59.22840015,706.6165806,5935.482042,148.4719663,26617.927,59.45752355,828.2811084,5186.973738,3037.64799
23,1158.174116,921.9117432,1067.40241,52.31769489,624.1693272,5632.92258,131.1484189,24706.592,52.52008443,731.6381703,5329.865583,3121.329759
