year,month,dom,hour,obj,infinite_solar_penalty,infinite_solar,load,coal,oil,gas,nuclear,zrb_solar,zrb_hydro,biomass,zrb_load,zrb_oil,zrb_gas,zrb_coal,zrb_biomass,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar
10,12,0,15,48159487.488529205,0.0,0.0,35077.56456437,31636.65507712016,0.0,0.0,1800.0,467.03634382038285,129.0,0.0,5411.517920600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,259.0971001237578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.40714211462333,0.0,69.53210158200173
10,12,0,16,48159487.488529205,0.0,0.0,34861.94789587,31815.741589495505,0.0,0.0,1800.0,54.85073036396222,129.0,0.0,5287.3542521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,48.15869707205768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.494499530396261,0.0,3.197533761508281
10,12,0,17,48159487.488529205,0.0,0.0,34980.78802515,31999.06813529732,0.0,0.0,1800.0,0.0,129.0,0.0,5359.792118400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12,0,18,48159487.488529205,0.0,0.0,35204.973782119996,32241.431115805422,0.0,0.0,1800.0,0.0,129.0,0.0,5601.6418828999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12,0,19,48159487.488529205,0.0,0.0,36415.843071799995,33550.47899654055,0.0,0.0,1800.0,0.0,129.0,0.0,5957.4769559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12,0,20,48159487.488529205,0.0,0.0,38296.25664530999,35583.35853547028,0.0,0.0,1800.0,0.0,129.0,0.0,6261.9603387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12,0,21,48159487.488529205,0.0,0.0,37499.1547092,34721.62671264866,0.0,0.0,1800.0,0.0,129.0,0.0,6141.369369600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12,0,22,48159487.488529205,0.0,0.0,34643.728977900006,31634.67997610813,0.0,0.0,1800.0,0.0,129.0,0.0,5535.2477146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12,0,23,48159487.488529205,0.0,0.0,32397.14551638,29205.94109878921,0.0,0.0,1800.0,0.0,129.0,0.0,5122.7037695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12,0,24,48159487.488529205,0.0,0.0,30761.40744759,27437.57561901622,1.0871303857129533e-12,0.0,1800.0,0.0,129.0,0.0,5055.0076739,1.0871303857129533e-12,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
