year,month,dom,hour,obj,infinite_solar_penalty,infinite_solar,load,coal,oil,gas,nuclear,zrb_solar,zrb_hydro,biomass,zrb_load,zrb_oil,zrb_gas,zrb_coal,zrb_biomass,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar,biomas
2,3,0,1,46275946.25854176,0.0,0.0,30570.347930890002,21532.307598732914,1.0675904604795505e-12,0.0,1800.0,0.0,5365.717191418222,,4653.6616839,1.0675904604795505e-12,0.0,0.0,0.0,0.0,873.0,378.7171914182219,129.0,610.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,1303.0,0.0,0.0
2,3,0,2,46275946.25854176,0.0,0.0,30207.300404920003,21138.51791648694,-8.304468224196171e-14,0.0,1800.0,0.0,5367.023061804738,,4719.7715382,-8.304468224196171e-14,0.0,0.0,0.0,1.3058703865160055,873.0,378.7171914182219,129.0,610.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,1303.0,0.0,0.0
2,3,0,3,46275946.25854176,0.0,0.0,29961.896403930004,20712.360002019395,-2.828848266744899e-13,0.0,1800.0,0.0,5527.879353580383,,4594.4737539,-2.828848266744899e-13,0.0,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,610.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,1303.0,0.0,0.0
2,3,0,4,46275946.25854176,0.0,0.0,29961.233621580002,20614.788562161386,-3.9879211044535623e-13,0.0,1800.0000000000005,96.85491839855166,5527.879353580383,,4645.924545,-3.9879211044535623e-13,0.0,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,610.0,462.0,32.55814777998677,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,49.49154295231847,1303.0,14.805227666246429,0.0
2,3,0,5,46275946.25854176,0.0,0.0,31393.65671683,21968.086069811437,3.099742684753437e-13,0.0,1800.0,489.7055356750069,5330.29673703224,,4686.2300966,3.099742684753437e-13,0.0,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,610.0,462.0,86.66358888912097,0.0,0.0,0.0,0.0,0.0,0.0,1874.417383451856,335.0420760075558,1303.0,67.9998707783301,0.0
2,3,0,6,46275946.25854176,0.0,0.0,34538.93841339,27401.613896308725,0.0,0.0,1800.0,1559.19583592037,2700.5831471113697,,4750.1556758,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,633.5764806552083,0.0,0.0,0.0,0.0,0.0,0.0,1380.112104640328,829.3473548190841,0.0,96.27200044607753,0.0
2,3,0,7,46275946.25854176,0.0,0.0,36854.267950379995,30273.47498956134,0.0,0.0,1800.0,2559.5058062161947,1320.471042471042,,5053.112314800001,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,850.6050557077735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1530.188649526334,0.0,178.71210098208712,0.0
2,3,0,8,46275946.25854176,0.0,0.0,37256.89542718001,30149.356373375267,0.0,0.0,1800.0,1755.6512213468634,2683.717191418222,,5652.961937,0.0,0.0,0.0,0.0,0.0,873.0,378.7171914182219,129.0,0.0,0.0,844.0404681343772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.688022111889,1303.0,86.9227311005973,0.0
2,3,0,9,46275946.25854176,0.0,0.0,38303.3364911,28675.26987905538,0.0,0.0,1800.0,3533.0385458371543,3049.7039979180236,,5632.4099741,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,462.0,1431.1904202032813,0.0,0.0,0.0,0.0,0.0,0.0,544.3997685337366,1665.0596909256756,1184.833186913245,436.7884347081978,0.0
2,3,0,10,46275946.25854176,0.0,0.0,38184.53349791,29293.295994615608,0.0,0.0,1800.0,2295.9624232052,4002.3183366762405,,5469.7012728,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,1146.7286363295439,0.0,0.0,0.0,0.0,0.0,0.0,1526.9781543483707,682.4813051110413,1154.8691398568278,466.752481764615,0.0
2,3,0,11,46275946.25854176,0.0,0.0,38381.08910193,29218.398599766173,0.0,0.0,1800.0,2591.786892474351,3551.324667358075,,5511.0539592,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,16.559139784946183,442.5591397849462,1035.3402730673458,0.0,0.0,0.0,0.0,0.0,0.0,911.2944851020869,1298.1649743573253,1303.0,258.2816450496797,0.0
2,3,0,12,46275946.25854176,0.0,0.0,38474.87473832,30586.485762732253,0.0,0.0,1800.0,1051.70262452322,4267.270789306502,,5510.499266600001,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,668.0102248847369,0.0,0.0,0.0,0.0,0.0,0.0,2011.6042241431664,197.85523531624546,935.195522692293,185.83716432223756,0.0
2,3,0,13,46275946.25854176,0.0,0.0,38205.50338731,31578.75899354894,0.0,0.0,1800.0,664.1272594430892,3371.3606522079094,,5495.0170807,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,467.0235159358996,0.0,0.0,0.0,0.0,0.0,0.0,2050.8896097368674,158.5698497225446,0.0,38.53389378464498,0.0
