year,month,dom,hour,obj,infinite_solar_penalty,infinite_solar,load,coal,oil,gas,nuclear,lower_solar,upper_solar,moz_hydro,zim_hydro,zam_hydro,biomass,zrb_load,zrb_oil,zrb_gas,zrb_coal,zrb_biomass,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar,BTSW_load,MAL_load,MOZ_load,NAM_load,MIM_load,ZAM_load,zam_oil,nam_oil,mal_gas,zam_coal,zim_coal,nam_coal,btsw_coal,zam_biomass,mal_biomass
10,10,0,11,50876556.05014666,0.0,0.0,37455.87262741,34674.83527287567,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.5285753,238.0470042,1945.378542,150.0529754,1777.920697,1041.203891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,12,50876556.05014666,0.0,0.0,37739.07764729999,34213.00286194594,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,768.0,0.0,,,,,,0.0,0.0,768.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.5735263,241.9329995,1928.265687,152.5025133,1870.681672,1095.52751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,13,50876556.05014666,0.0,0.0,37468.144347990004,33815.101997827034,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,873.0,0.0,,,,,,0.0,873.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.2701905,239.4600917,1910.709559,150.9437154,1932.522497,1131.743359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,14,50876556.05014666,0.0,0.0,36919.49305985,33326.96547010811,0.0,0.0,1800.0000000000005,0.0,0.0,0.0,0.0,768.0,0.0,,,,,,0.0,0.0,768.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.2252169,225.6824564,1910.709559,142.2589803,1839.761391,1077.419663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,15,50876556.05014666,0.0,0.0,36687.28438462,33843.92906445405,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0716394,213.3179087,1924.774496,134.4649852,1752.153731,1026.113979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,16,50876556.05014666,0.0,0.0,36994.87979759,34176.46464604325,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.7233073,207.6655403,1899.903154,130.9020138,1721.233318,1008.006055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,17,50876556.05014666,0.0,0.0,37343.68073798999,34553.54674377297,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8544092,210.1384481,1879.620437,132.4608117,1762.460491,1032.149928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,18,50876556.05014666,0.0,0.0,38054.320158079994,34448.805576302715,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,873.0,0.0,,,,,,0.0,873.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.5510508,215.7908164,1877.459174,136.0237831,1824.301185,1068.3657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,19,50876556.05014666,0.0,0.0,40621.888182769995,35257.554792183735,0.0,0.0,1800.0,0.0,0.0,2072.0,0.0,768.0,0.0,,,,,,0.0,0.0,768.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0,344.9668321,221.7964521,1995.176273,139.8094367,1994.363191,1167.959132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,20,50876556.05014666,0.0,0.0,41005.09296401,35188.1130399439,0.0,0.0,1800.0,0.0,0.0,2072.0,0.0,1251.7171914182218,0.0,,,,,,0.0,873.0,378.7171914182219,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0,381.513704,246.5255477,2093.209419,155.3974269,2205.652304,1291.696398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
