year,month,dom,hour,obj,infinite_solar_penalty,infinite_solar,load,coal,oil,gas,nuclear,zrb_solar,zrb_hydro,biomass,zrb_load,zrb_oil,zrb_gas,zrb_coal,zrb_biomass,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar
10,3,0,1,45574563.659667015,0.0,0.0,30570.347930890002,21833.661172837543,6.128431095930864e-14,0.0,1800.0,0.0,5064.363617313748,0.0,4653.6616839,6.128431095930864e-14,0.0,0.0,0.0,127.51896251089786,448.41397849462373,746.399931690919,129.0,610.0,462.0,0.0,0.0,0.0,0.0,254.03074461730807,677.0,0.0,2072.0,0.0,0.0,0.0
10,3,0,2,45574563.659667015,0.0,0.0,30207.300404920003,20926.66162471146,-1.6964207816272392e-13,0.0,1800.0,0.0,5578.879353580383,0.0,4719.7715382,-1.6964207816272392e-13,0.0,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,610.0,462.0,0.0,0.0,0.0,0.0,677.0,677.0,0.0,2072.0,0.0,0.0,0.0
10,3,0,3,45574563.659667015,0.0,0.0,29961.896403930004,20661.360002019555,-3.82804898890754e-13,0.0,1800.0,0.0,5578.879353580383,0.0,4594.4737539,-3.82804898890754e-13,0.0,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,610.0,462.0,0.0,0.0,0.0,0.0,677.0,677.0,0.0,2072.0,0.0,0.0,0.0
10,3,0,4,45574563.659667015,0.0,0.0,29961.233621580002,21330.914040658598,3.9968028886505635e-15,0.0,1800.0,122.18911732087084,4968.879353580383,0.0,4645.924545,3.9968028886505635e-15,0.0,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,0.0,279.54032258064535,44.39259105346274,0.0,0.0,0.0,677.0,677.0,1.3878505487199335,2072.0,76.40867571868816,0.0,0.0
10,3,0,5,45574563.659667015,0.0,0.0,31393.65671683,23065.701241216917,-1.687538997430238e-14,0.0,1800.0,507.40540807068896,4676.981693231265,0.0,4686.2300966,-1.687538997430238e-14,0.0,0.0,0.0,0.0,873.0,378.7171914182219,129.0,0.0,0.0,162.90203467340257,0.0,0.0,0.0,677.0,677.0,77.30841575091777,1942.2645018130434,267.1949576463686,0.0,0.0
10,3,0,6,45574563.659667015,0.0,0.0,34538.93841339,25970.188558791877,0.0,0.0,1800.0,1615.496475887379,4075.7078446612372,0.0,4750.1556758,0.0,0.0,0.0,0.0,0.0,873.0,0.0,129.0,0.0,0.0,1032.3548527930775,0.0,0.0,0.0,677.0,544.5815838321757,225.80842446395064,1852.1262608290613,357.33319863035075,0.0,0.0
10,3,0,7,45574563.659667015,0.0,0.0,36854.267950379995,27893.27711119827,0.0,0.0,1800.0,2680.524609401171,3579.650117649152,0.0,5053.112314800001,0.0,0.0,0.0,0.0,0.0,873.0,0.0,129.0,0.0,0.0,1601.415786021654,0.0,0.0,0.0,677.0,560.1172262464495,210.1822553228077,1340.5328914027025,868.9265680567095,0.0,0.0
10,3,0,8,45574563.659667015,0.0,0.0,37256.89542718001,28089.570666134623,0.0,0.0,1800.0,3680.9016313913926,2818.252488614474,0.0,5652.961937,0.0,0.0,0.0,0.0,0.0,0.0,768.0,129.0,0.0,0.0,1942.4211382530693,0.0,0.0,0.0,677.0,358.0406318865546,415.23289040683,886.211856727919,1323.247602731493,0.0,0.0
10,3,0,9,45574563.659667015,0.0,0.0,38303.3364911,28469.094121979997,0.0,0.0,1800.0,4843.813390917792,2407.1049099129646,0.0,5632.4099741,0.0,0.0,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,0.0,0.0,2054.764758464763,0.0,0.0,0.0,677.0,12.278080693432003,754.5366486327662,174.94747563914882,2034.5119838202634,0.0,0.0
10,3,0,10,45574563.659667015,0.0,0.0,38184.53349791,28342.226296795765,0.0,0.0,1800.0,5394.305180513704,1855.0452771877608,0.0,5469.7012728,0.0,0.0,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,0.0,0.0,2055.0925395027875,0.0,0.0,0.0,312.16592360737695,0.0,1129.753181551505,0.0,2209.459459459412,0.0,0.0
