year,month,dom,hour,obj,infinite_solar_penalty,infinite_solar,load,coal,oil,gas,nuclear,zrb_solar,zrb_hydro,biomass,zrb_load,zrb_oil,zrb_gas,zrb_coal,zrb_biomass,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar,biomas
2,3,0,1,45051352.45448198,0.0,0.0,30570.347930890002,21319.14543657091,-3.028688411177427e-13,0.0,1800.0,0.0,5578.879353580383,,4653.6616839,-3.028688411177427e-13,0.0,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,610.0,462.0,0.0,0.0,0.0,0.0,677.0,677.0,0.0,2072.0,0.0,0.0,0.0,0.0
2,3,0,2,45051352.45448198,0.0,0.0,30207.300404920003,21560.83962529269,-7.682743330406083e-14,0.0,1800.0,0.0,4944.701352999158,,4719.7715382,-7.682743330406083e-14,0.0,0.0,0.0,137.98416158093622,873.0,378.7171914182219,129.0,0.0,462.0,0.0,0.0,0.0,0.0,677.0,677.0,0.0,2072.0,0.0,0.0,0.0,0.0
2,3,0,3,45051352.45448198,0.0,0.0,29961.896403930004,21433.52216418173,-2.5757174171303632e-14,0.0,1800.0000000000005,0.0,4806.717191418222,,4594.4737539,-2.5757174171303632e-14,0.0,0.0,0.0,0.0,873.0,378.7171914182219,129.0,0.0,462.0,0.0,0.0,0.0,0.0,677.0,677.0,0.0,2072.0,0.0,0.0,0.0,0.0
2,3,0,4,45051352.45448198,0.0,0.0,29961.233621580002,21334.01586375341,-3.1530333899354446e-14,0.0,1800.0,98.78977896886596,4806.717191418222,,4645.924545,-3.1530333899354446e-14,0.0,0.0,0.0,0.0,873.0,378.7171914182219,129.0,0.0,462.0,35.74421178683998,0.0,0.0,0.0,677.0,677.0,8.841122014067723,2072.0,54.204445167958255,0.0,0.0,0.0
2,3,0,5,45051352.45448198,0.0,0.0,31393.65671683,22550.94947963829,-3.1086244689504383e-15,0.0,1800.0,497.7469816712779,4739.3918812093,,4686.2300966,-3.1086244689504383e-15,0.0,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,0.0,462.0,95.14428450885397,0.0,0.0,0.0,677.0,677.0,35.655765331928166,1842.5125276289161,366.9469318304958,0.0,0.0,0.0
2,3,0,6,45051352.45448198,0.0,0.0,34538.93841339,25405.858937281944,0.0,0.0,1800.0,1644.7644082993695,4137.769533759167,,4750.1556758,0.0,0.0,0.0,0.0,162.16216216216216,423.471042471042,768.0,129.0,0.0,462.0,695.5767895869444,0.0,0.0,0.0,677.0,677.0,40.86448837897582,1301.136329125963,908.3231303334492,0.0,0.0,0.0
2,3,0,7,45051352.45448198,0.0,0.0,36854.267950379995,28256.4903836854,0.0,0.0,1800.0,2743.168427489062,3164.7930270741335,,5053.112314800001,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,933.8432721552025,0.0,0.0,0.0,677.0,633.7655542691183,133.42212620842128,533.5564303339736,1675.9030291254385,0.0,0.0,0.0
2,3,0,8,45051352.45448198,0.0,0.0,37256.89542718001,28685.54887665452,0.0,0.0,1800.0,2222.481029137177,3680.6948803487944,,5652.961937,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,926.6362894330167,0.0,0.0,0.0,677.0,376.9844844938925,392.6246336286083,1306.23935338386,903.2201060755522,0.0,0.0,0.0
2,3,0,9,45051352.45448198,0.0,0.0,38303.3364911,29172.579135048483,0.0,0.0,1800.0,3965.370094769664,2582.063192992616,,5632.4099741,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,1571.243359196504,0.0,0.0,0.0,677.0,198.75004736708001,570.5093792682424,385.8421031544943,1823.6173563049178,0.0,0.0,0.0
2,3,0,10,45051352.45448198,0.0,0.0,38184.53349791,29357.351710541665,0.0,0.0,1800.0,2372.8346110962684,3861.3904328593107,,5469.7012728,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,1258.9448120937943,0.0,0.0,0.0,677.0,401.93148413318136,366.41824579814977,1461.9879062550874,747.4715532043244,0.0,0.0,0.0
